kernel_groove_length,asymmetry,type
5.22,2.221,1
4.956,1.018,1
4.825,2.699,1
4.805,2.259,1
5.175,1.355,1
4.956,2.462,1
5.219,3.586,1
5,2.7,1
5.877,2.04,1
5.533,1.969,1
5.314,4.543,1
5.001,1.717,1
4.738,3.986,1
4.872,3.136,1
4.825,2.932,1
4.781,4.185,1
4.781,5.234,1
5.046,1.599,1
4.649,1.767,1
4.914,4.102,1
5.176,3.072,1
5.219,2.688,1
5.091,0.7651,1
4.961,1.415,1
5.001,1.791,1
5.307,0.903,1
4.825,3.373,1
4.869,2.504,1
5.038,2.754,1
5.097,3.531,1
5.056,0.8551,1
5.228,3.412,1
5.299,3.92,1
5.012,2.124,1
5.36,2.129,1
5.443,2.27,1
5.527,2.823,1
5.484,2.956,1
5.309,3.112,1
5.001,6.685,1
5.178,2.587,1
5.176,2.249,1
4.783,2.461,1
5.528,4.711,1
5.18,3.128,1
4.961,1.56,1
5.132,1.367,1
5.175,2.958,1
5.111,2.704,1
5.351,2.129,1
5.144,3.975,1
5.136,5.593,1
5.396,4.116,1
5.224,3.328,1
5.487,1.481,1
5.439,1.933,1
5.044,2.802,1
5.088,1.142,1
5.222,1.999,1
4.519,1.502,1
4.607,2.7,1
4.703,2.269,1
4.605,3.22,1
5.088,4.157,1
4.782,1.176,1
4.607,2.352,1
5.15,1.313,1
5.132,2.217,1
5.3,1.464,1
5.067,3.533,1
5.395,5.304,0
5.44,7.035,0
5.307,5.995,0
5.221,5.469,0
5.178,4.471,0
5.275,6.169,0
5.132,2.221,0
5.002,4.421,0
5.316,3.26,0
5.194,5.462,0
5.307,5.195,0
5.27,6.992,0
5.36,4.756,0
5.001,3.332,0
5.263,4.048,0
5.219,5.813,0
5.003,3.347,0
5.22,4.825,0
5.31,4.378,0
5.31,5.388,0
5.491,3.082,0
5.308,4.271,0
5.046,4.988,0
5.176,4.419,0
5.049,6.388,0
5.056,2.201,0
5.27,4.924,0
5.338,3.638,0
5.132,4.337,0
5.088,3.521,0
5.163,6.735,0
4.956,6.715,0
5,4.309,0
5.089,5.588,0
5.185,5.182,0
5.063,4.773,0
5.092,5.335,0
4.963,4.702,0
5.002,5.876,0
5.178,1.661,0
4.825,4.957,0
5.147,4.987,0
5.158,4.857,0
5.135,5.209,0
5.316,6.185,0
5.182,4.062,0
5.352,4.898,0
4.956,4.179,0
4.957,7.524,0
4.794,4.975,0
5.045,5.398,0
5.001,3.985,0
5.132,3.597,0
5.089,4.853,0
5.012,4.132,0
4.914,4.873,0
4.958,5.483,0
5.091,4.67,0
5.231,3.306,0
4.83,2.828,0
5.045,5.472,0
4.745,2.3,0
4.828,4.051,0
5,8.456,0
5.001,3.919,0
4.87,3.631,0
5.003,4.325,0
5.056,8.315,0
5.044,3.598,0
5.063,5.637,0
4.836,9.767,1
4.8,9.606,1
4.839,5.545,1
4.52,9.617,1
4.7,7.589,1
4.743,9.943,1
4.97,4.808,1
4.782,7.128,1
4.529,5.474,1
4.901,7.282,1
4.757,6.196,1
4.608,4.394,1
4.517,8.064,1
4.736,4.213,1
4.813,4.116,1
4.961,5.291,1
4.776,7.021,1
4.738,4.075,1
4.696,5.335,1
4.54,8.021,1
4.633,4.794,1
4.658,7.388,1
4.733,7.948,1
4.751,4.799,1
4.745,8.929,1
4.742,9.771,1
4.834,8.354,1
4.62,9.169,1
4.683,4.233,1
4.64,6.043,1
4.54,8.329,1
4.912,8.448,1
4.766,7.658,1
4.83,6.724,1
4.632,7.792,1
4.834,4.213,1
4.567,6.214,1
4.973,8.645,1
4.774,6.339,1
4.815,5.332,1
4.601,5.773,1
4.773,6.883,1
4.805,8.134,1
4.994,7.482,1
4.882,6.071,1
4.538,4.717,1
4.868,8.248,1
4.675,6.606,1
4.605,6.772,1
4.74,9.842,1
4.751,6.019,1
5.133,6.647,1
5.456,7.455,0
5.036,7.262,0
5.476,8.27,0
5.163,8.261,0
5.048,8.777,0
5.318,8.459,0
5.214,7.419,0
5.309,7.371,0
5.227,8.514,0
5.276,8.141,0
5.192,6.421,0
5.565,6.872,0
5.323,6.767,0
5.466,7.124,0
5.236,8.366,0
5.201,8.141,0
5.063,8.742,0
5.092,8.953,0
5.401,6.869,0
5.171,8.963,0
5.121,6.709,0
5.27,8.952,0
5.129,6.497,0
5.387,7.534,0
5.404,8.405,0
5.346,7.125,0
5.557,6.254,0
5.57,6.291,0
5.029,8.308,0
5.238,6.027,0
5.181,7.933,0
5.324,7.038,0
5.067,8.942,0
5.339,6.452,0
5.04,6.865,0
5.229,7.602,0
5.104,8.149,0
5.249,8.556,0
5.549,7.365,0
5.522,7.998,0
5.199,6.967,0
5.173,8.747,0
5.428,6.908,0
5.058,7.837,0
5.194,6.56,0
5.553,7.473,0
5.55,7.851,0
5.196,7.451,0
5.445,8.352,0
5.472,7.752,0
